"Gene","Non.unique.Gene.name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"ruvB--group_16778","--","Holliday junction ATP-dependent DNA helicase RuvB--hypothetical protein",688,0,436,149,61.2099644128114,100,Inf,4.184413366298e-56,1.54823294553026e-51,7.05345305480757e-55,3,3,0,0.25,0.25,0.0099009900990099
"group_11117","","hypothetical protein",686,0,438,149,61.0320284697509,100,Inf,7.51994649365856e-56,2.78238020265367e-51,1.26242295946174e-54,4,4,0,0.125,0.125,0.0495049504950495
"group_17136","","hypothetical protein",686,0,438,149,61.0320284697509,100,Inf,7.51994649365856e-56,2.78238020265367e-51,1.26242295946174e-54,4,4,0,0.125,0.125,0.0099009900990099
"cheY_2","","Chemotaxis protein CheY",685,0,439,149,60.9430604982206,100,Inf,1.00722745746616e-55,3.72674159262479e-51,1.67720143682484e-54,4,4,0,0.125,0.125,0.0198019801980198
"pulD","","Secretin PulD",685,0,439,149,60.9430604982206,100,Inf,1.00722745746616e-55,3.72674159262479e-51,1.67720143682484e-54,4,4,0,0.125,0.125,0.0099009900990099
"epsF","","Type II secretion system protein F",685,0,439,149,60.9430604982206,100,Inf,1.00722745746616e-55,3.72674159262479e-51,1.67720143682484e-54,4,4,0,0.125,0.125,0.0099009900990099
"group_13094","","hypothetical protein",685,0,439,149,60.9430604982206,100,Inf,1.00722745746616e-55,3.72674159262479e-51,1.67720143682484e-54,4,4,0,0.125,0.125,0.0099009900990099
"rbn_2","","Ribonuclease BN",684,0,440,149,60.8540925266904,100,Inf,1.34831130101395e-55,4.98875181375163e-51,2.23710843665992e-54,4,4,0,0.125,0.125,0.0198019801980198
"group_11269","ndhB_2","NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic",684,0,440,149,60.8540925266904,100,Inf,1.34831130101395e-55,4.98875181375163e-51,2.23710843665992e-54,4,4,0,0.125,0.125,0.0099009900990099
"group_16908","","hypothetical protein",684,0,440,149,60.8540925266904,100,Inf,1.34831130101395e-55,4.98875181375163e-51,2.23710843665992e-54,4,4,0,0.125,0.125,0.0099009900990099
"flgI","","Flagellar P-ring protein",684,0,440,149,60.8540925266904,100,Inf,1.34831130101395e-55,4.98875181375163e-51,2.23710843665992e-54,4,4,0,0.125,0.125,0.0099009900990099
"group_8292","","hypothetical protein",684,0,440,149,60.8540925266904,100,Inf,1.34831130101395e-55,4.98875181375163e-51,2.23710843665992e-54,3,3,0,0.25,0.25,0.0099009900990099
"group_9542","","hypothetical protein",684,0,440,149,60.8540925266904,100,Inf,1.34831130101395e-55,4.98875181375163e-51,2.23710843665992e-54,3,3,0,0.25,0.25,0.0099009900990099
"group_11909","","Undecaprenyl-phosphate mannosyltransferase",683,0,441,149,60.7651245551601,100,Inf,1.80386319183547e-55,6.67429380979122e-51,2.98359133204793e-54,4,4,0,0.125,0.125,0.0099009900990099
"mltF_3","","Membrane-bound lytic murein transglycosylase F",683,0,441,149,60.7651245551601,100,Inf,1.80386319183547e-55,6.67429380979122e-51,2.98359133204793e-54,4,4,0,0.125,0.125,0.0099009900990099
"ndhB_2","","NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic",683,0,441,149,60.7651245551601,100,Inf,1.80386319183547e-55,6.67429380979122e-51,2.98359133204793e-54,4,4,0,0.125,0.125,0.0099009900990099
"dapF","","Diaminopimelate epimerase",683,0,441,149,60.7651245551601,100,Inf,1.80386319183547e-55,6.67429380979122e-51,2.98359133204793e-54,4,4,0,0.125,0.125,0.0099009900990099
"group_5220","","hypothetical protein",682,0,442,149,60.6761565836299,100,Inf,2.41195281985274e-55,8.92422543345514e-51,3.97692755501566e-54,4,4,0,0.125,0.125,0.0099009900990099
"cheB_6","","hypothetical protein",682,0,442,149,60.6761565836299,100,Inf,2.41195281985274e-55,8.92422543345514e-51,3.97692755501566e-54,4,4,0,0.125,0.125,0.0099009900990099
"ndhH","","NAD(P)H-quinone oxidoreductase subunit H, chloroplastic",682,0,442,149,60.6761565836299,100,Inf,2.41195281985274e-55,8.92422543345514e-51,3.97692755501566e-54,4,4,0,0.125,0.125,0.0099009900990099
"argG","","Argininosuccinate synthase",681,0,443,149,60.5871886120996,100,Inf,3.22319654481668e-55,1.19258272158217e-50,5.27458081195122e-54,4,4,0,0.125,0.125,0.0099009900990099
"group_21363","","hypothetical protein",681,0,443,149,60.5871886120996,100,Inf,3.22319654481668e-55,1.19258272158217e-50,5.27458081195122e-54,4,4,0,0.125,0.125,0.0099009900990099
"sasA_7","","Adaptive-response sensory-kinase SasA",681,0,443,149,60.5871886120996,100,Inf,3.22319654481668e-55,1.19258272158217e-50,5.27458081195122e-54,4,4,0,0.125,0.125,0.0099009900990099
"group_13726","","hypothetical protein",678,0,446,149,60.3202846975089,100,Inf,7.66596890102055e-55,2.8364084933776e-50,1.2517248426203e-53,4,4,0,0.125,0.125,0.0099009900990099
"rsbV_1","","Anti-sigma-B factor antagonist",678,0,446,149,60.3202846975089,100,Inf,7.66596890102055e-55,2.8364084933776e-50,1.2517248426203e-53,4,4,0,0.125,0.125,0.0099009900990099
"group_9148","","hypothetical protein",677,0,447,149,60.2313167259786,100,Inf,1.02212918680234e-54,3.78187799116866e-50,1.65944624447945e-53,4,4,0,0.125,0.125,0.0099009900990099
"hprK","","HPr kinase/phosphorylase",677,0,447,149,60.2313167259786,100,Inf,1.02212918680234e-54,3.78187799116866e-50,1.65944624447945e-53,4,4,0,0.125,0.125,0.0099009900990099
"group_6948","","hypothetical protein",677,0,447,149,60.2313167259786,100,Inf,1.02212918680234e-54,3.78187799116866e-50,1.65944624447945e-53,4,4,0,0.125,0.125,0.0297029702970297
"ilvH","","Acetolactate synthase small subunit",676,0,448,149,60.1423487544484,100,Inf,1.36207840294734e-54,5.03969009090515e-50,2.20942134629774e-53,4,4,0,0.125,0.125,0.0099009900990099
"leuA_1","","2-isopropylmalate synthase",676,0,448,149,60.1423487544484,100,Inf,1.36207840294734e-54,5.03969009090515e-50,2.20942134629774e-53,4,4,0,0.125,0.125,0.0099009900990099
"ndhB_3","","NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic",675,0,449,149,60.0533807829182,100,Inf,1.81408214913688e-54,6.71210395180644e-50,2.94132513225523e-53,4,4,0,0.125,0.125,0.0099009900990099
"groL--groS","--","60 kDa chaperonin--10 kDa chaperonin",674,0,450,149,59.9644128113879,100,Inf,2.41474490518569e-54,8.93455614918706e-50,3.90837976779837e-53,4,4,0,0.125,0.125,0.0099009900990099
"group_15038","","putative protein",671,0,453,149,59.6975088967972,100,Inf,5.67649544076897e-54,2.10030331308452e-49,9.1277849330053e-53,4,4,0,0.125,0.125,0.0099009900990099
"group_35247","","hypothetical protein",671,0,453,149,59.6975088967972,100,Inf,5.67649544076897e-54,2.10030331308452e-49,9.1277849330053e-53,4,4,0,0.125,0.125,0.0099009900990099
"group_18500","","hypothetical protein",670,0,454,149,59.6085409252669,100,Inf,7.5394862352033e-54,2.78960990702522e-49,1.21129392402311e-52,4,4,0,0.125,0.125,0.0099009900990099
"pcrA_3","","ATP-dependent DNA helicase PcrA",670,0,454,149,59.6085409252669,100,Inf,7.5394862352033e-54,2.78960990702522e-49,1.21129392402311e-52,4,4,0,0.125,0.125,0.0099009900990099
"cpoB_3","","Cell division coordinator CpoB",669,0,455,149,59.5195729537367,100,Inf,1.00084608484834e-53,3.70313051393885e-49,1.6044759592456e-52,4,4,0,0.125,0.125,0.0099009900990099
"tolQ_4","","Tol-Pal system protein TolQ",669,0,455,149,59.5195729537367,100,Inf,1.00084608484834e-53,3.70313051393885e-49,1.6044759592456e-52,4,4,0,0.125,0.125,0.0099009900990099
"lpxA","","Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase",668,0,456,149,59.4306049822064,100,Inf,1.32787693274879e-53,4.91314465117051e-49,2.10413047159337e-52,4,4,0,0.125,0.125,0.0099009900990099
"group_6308","","hypothetical protein",667,0,457,149,59.3416370106762,100,Inf,1.76081711432361e-53,6.51502332299736e-49,2.7865796933265e-52,4,4,0,0.125,0.125,0.0099009900990099
"group_4920","","hypothetical protein",666,0,458,149,59.2526690391459,100,Inf,2.33365936330621e-53,8.634539644233e-49,3.67583637472669e-52,4,4,0,0.125,0.125,0.0396039603960396
"ndhC--nqo1","--","NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic--NADH-quinone oxidoreductase subunit 1",666,0,458,149,59.2526690391459,100,Inf,2.33365936330621e-53,8.634539644233e-49,3.67583637472669e-52,4,4,0,0.125,0.125,0.0198019801980198
"rpoN","","RNA polymerase sigma-54 factor",666,0,458,149,59.2526690391459,100,Inf,2.33365936330621e-53,8.634539644233e-49,3.67583637472669e-52,4,4,0,0.125,0.125,0.0099009900990099
"group_31661","","hypothetical protein",666,0,458,149,59.2526690391459,100,Inf,2.33365936330621e-53,8.634539644233e-49,3.67583637472669e-52,3,3,0,0.25,0.25,0.0198019801980198
"rppH_1","","RNA pyrophosphohydrolase",665,0,459,149,59.1637010676157,100,Inf,3.09120891697222e-53,1.14374729927972e-48,4.84023402149692e-52,4,4,0,0.125,0.125,0.0099009900990099
"pgcA","","Phosphoglucomutase",665,0,459,149,59.1637010676157,100,Inf,3.09120891697222e-53,1.14374729927972e-48,4.84023402149692e-52,4,4,0,0.125,0.125,0.0297029702970297
"group_25254--dapB","--","hypothetical protein--4-hydroxy-tetrahydrodipicolinate reductase",665,0,459,149,59.1637010676157,100,Inf,3.09120891697222e-53,1.14374729927972e-48,4.84023402149692e-52,4,4,0,0.125,0.125,0.0099009900990099
"hupR1_4","","Hydrogenase transcriptional regulatory protein hupR1",665,0,459,149,59.1637010676157,100,Inf,3.09120891697222e-53,1.14374729927972e-48,4.84023402149692e-52,4,4,0,0.125,0.125,0.0099009900990099
"group_13826","","hypothetical protein",664,0,460,149,59.0747330960854,100,Inf,4.09249180530081e-53,1.5142219679613e-48,6.32507087703133e-52,4,4,0,0.125,0.125,0.0099009900990099
"group_68095","","hypothetical protein",664,0,460,149,59.0747330960854,100,Inf,4.09249180530081e-53,1.5142219679613e-48,6.32507087703133e-52,4,4,0,0.125,0.125,0.0099009900990099
"hslO","","33 kDa chaperonin",663,0,461,149,58.9857651245552,100,Inf,5.41522776840104e-53,2.00363427430839e-48,8.34499906000994e-52,4,4,0,0.125,0.125,0.0099009900990099
"efp","","Elongation factor P",663,0,461,149,58.9857651245552,100,Inf,5.41522776840104e-53,2.00363427430839e-48,8.34499906000994e-52,4,4,0,0.125,0.125,0.0396039603960396
"group_28369","","hypothetical protein",662,0,462,149,58.8967971530249,100,Inf,7.16169733007106e-53,2.64982801212629e-48,1.09860199507723e-51,3,3,0,0.25,0.25,0.0297029702970297
"group_5945","","hypothetical protein",662,0,462,149,58.8967971530249,100,Inf,7.16169733007106e-53,2.64982801212629e-48,1.09860199507723e-51,4,4,0,0.125,0.125,0.0495049504950495
"coaD","","Phosphopantetheine adenylyltransferase",662,0,462,149,58.8967971530249,100,Inf,7.16169733007106e-53,2.64982801212629e-48,1.09860199507723e-51,4,4,0,0.125,0.125,0.0099009900990099
"swrC_2","","Swarming motility protein SwrC",661,0,463,149,58.8078291814947,100,Inf,9.46643361987116e-53,3.50258043935233e-48,1.45034386722664e-51,4,4,0,0.125,0.125,0.0099009900990099
"ppnP","","Pyrimidine/purine nucleoside phosphorylase",661,0,463,149,58.8078291814947,100,Inf,9.46643361987116e-53,3.50258043935233e-48,1.45034386722664e-51,3,3,0,0.25,0.25,0.0099009900990099
"glyQS","","Glycine--tRNA ligase",660,0,464,149,58.7188612099644,100,Inf,1.25063013124634e-52,4.62733148561147e-48,1.90896513432816e-51,3,3,0,0.25,0.25,0.0198019801980198
"sucC","","Succinate--CoA ligase [ADP-forming] subunit beta",660,0,464,149,58.7188612099644,100,Inf,1.25063013124634e-52,4.62733148561147e-48,1.90896513432816e-51,4,4,0,0.125,0.125,0.0099009900990099
"lolD_4","","Lipoprotein-releasing system ATP-binding protein LolD",660,0,464,149,58.7188612099644,100,Inf,1.25063013124634e-52,4.62733148561147e-48,1.90896513432816e-51,4,4,0,0.125,0.125,0.0396039603960396
"fadA_1","","3-ketoacyl-CoA thiolase",659,0,465,149,58.6298932384342,100,Inf,1.65136967867753e-52,6.11006781110684e-48,2.49594273329528e-51,3,3,0,0.25,0.25,0.0099009900990099
"sasA_8","","Adaptive-response sensory-kinase SasA",658,0,466,149,58.5409252669039,100,Inf,2.17938273044322e-52,8.06371610263991e-48,3.28327202876218e-51,3,3,0,0.25,0.25,0.0099009900990099
"group_28284","","hypothetical protein",658,0,466,149,58.5409252669039,100,Inf,2.17938273044322e-52,8.06371610263991e-48,3.28327202876218e-51,4,4,0,0.125,0.125,0.0099009900990099
"group_32326","","hypothetical protein",657,0,467,149,58.4519572953737,100,Inf,2.87473182431e-52,1.0636507749947e-47,4.30976813206929e-51,3,3,0,0.25,0.25,0.0099009900990099
"cysQ_1","","3'(2'),5'-bisphosphate nucleotidase CysQ",657,0,467,149,58.4519572953737,100,Inf,2.87473182431e-52,1.0636507749947e-47,4.30976813206929e-51,4,4,0,0.125,0.125,0.0099009900990099
"fadN","","putative 3-hydroxyacyl-CoA dehydrogenase",657,0,467,149,58.4519572953737,100,Inf,2.87473182431e-52,1.0636507749947e-47,4.30976813206929e-51,3,3,0,0.25,0.25,0.0099009900990099
"rpoD","","RNA polymerase sigma factor RpoD",657,0,467,149,58.4519572953737,100,Inf,2.87473182431e-52,1.0636507749947e-47,4.30976813206929e-51,4,4,0,0.125,0.125,0.0099009900990099
"group_320880","","hypothetical protein",657,0,467,149,58.4519572953737,100,Inf,2.87473182431e-52,1.0636507749947e-47,4.30976813206929e-51,4,4,0,0.125,0.125,0.0099009900990099
"argB_1","","Acetylglutamate kinase",656,0,468,149,58.3629893238434,100,Inf,3.78997764017189e-52,1.4022917268636e-47,5.62266129456134e-51,4,4,0,0.125,0.125,0.0099009900990099
"group_4006","","hypothetical protein",656,0,468,149,58.3629893238434,100,Inf,3.78997764017189e-52,1.4022917268636e-47,5.62266129456134e-51,3,3,0,0.25,0.25,0.0198019801980198
"atpD_1","","ATP synthase subunit beta",656,0,468,149,58.3629893238434,100,Inf,3.78997764017189e-52,1.4022917268636e-47,5.62266129456134e-51,3,3,0,0.25,0.25,0.0099009900990099
"group_20673","","hypothetical protein",656,0,468,149,58.3629893238434,100,Inf,3.78997764017189e-52,1.4022917268636e-47,5.62266129456134e-51,3,3,0,0.25,0.25,0.0099009900990099
"gtfA","","Alpha-monoglucosyldiacylglycerol synthase",655,0,469,149,58.2740213523132,100,Inf,4.99404303118126e-52,1.84779592153707e-47,7.2214399570832e-51,3,3,0,0.25,0.25,0.0099009900990099
"group_54699","","hypothetical protein",655,0,469,149,58.2740213523132,100,Inf,4.99404303118126e-52,1.84779592153707e-47,7.2214399570832e-51,2,2,0,0.5,0.5,0.0396039603960396
"secD","","Protein translocase subunit SecD",655,0,469,149,58.2740213523132,100,Inf,4.99404303118126e-52,1.84779592153707e-47,7.2214399570832e-51,3,3,0,0.25,0.25,0.0099009900990099
"rluC","","Ribosomal large subunit pseudouridine synthase C",655,0,469,149,58.2740213523132,100,Inf,4.99404303118126e-52,1.84779592153707e-47,7.2214399570832e-51,3,3,0,0.25,0.25,0.0099009900990099
"group_31658","","hypothetical protein",654,0,470,149,58.1850533807829,100,Inf,6.57726092830519e-52,2.43358654347292e-47,8.44116040053042e-51,4,4,0,0.125,0.125,0.0099009900990099
"group_68782","","hypothetical protein",653,0,471,149,58.0960854092527,100,Inf,8.65796555318632e-52,3.20344725467894e-47,1.06497581605018e-50,3,3,0,0.25,0.25,0.0198019801980198
"group_29157","","hypothetical protein",653,0,471,149,58.0960854092527,100,Inf,8.65796555318632e-52,3.20344725467894e-47,1.06497581605018e-50,3,3,0,0.25,0.25,0.0198019801980198
"nusG","","Transcription termination/antitermination protein NusG",653,0,471,149,58.0960854092527,100,Inf,8.65796555318632e-52,3.20344725467894e-47,1.06497581605018e-50,3,3,0,0.25,0.25,0.0099009900990099
"group_23205--group_36538","--","hypothetical protein--hypothetical protein",653,0,471,149,58.0960854092527,100,Inf,8.65796555318632e-52,3.20344725467894e-47,1.06497581605018e-50,3,3,0,0.25,0.25,0.0297029702970297
"group_46350","","hypothetical protein",653,0,471,149,58.0960854092527,100,Inf,8.65796555318632e-52,3.20344725467894e-47,1.06497581605018e-50,3,3,0,0.25,0.25,0.0495049504950495
"barS1","","A-factor type gamma-butyrolactone 1'-reductase (1S-forming)",653,0,471,149,58.0960854092527,100,Inf,8.65796555318632e-52,3.20344725467894e-47,1.06497581605018e-50,3,3,0,0.25,0.25,0.0099009900990099
"cpoB_2--ribF","--","Cell division coordinator CpoB--Bifunctional riboflavin kinase/FMN adenylyltransferase",653,0,471,149,58.0960854092527,100,Inf,8.65796555318632e-52,3.20344725467894e-47,1.06497581605018e-50,3,3,0,0.25,0.25,0.0495049504950495
"gap1","","Glyceraldehyde-3-phosphate dehydrogenase 1",652,0,472,149,58.0071174377224,100,Inf,1.13910945095816e-51,4.2147049685452e-47,1.37465915477665e-50,3,3,0,0.25,0.25,0.0099009900990099
"group_28399","","hypothetical protein",652,0,472,149,58.0071174377224,100,Inf,1.13910945095816e-51,4.2147049685452e-47,1.37465915477665e-50,3,3,0,0.25,0.25,0.0099009900990099
"thrZ--ispE","--","Threonine--tRNA ligase 2--4-diphosphocytidyl-2-C-methyl-D-erythritol kinase",652,0,472,149,58.0071174377224,100,Inf,1.13910945095816e-51,4.2147049685452e-47,1.37465915477665e-50,3,3,0,0.25,0.25,0.0099009900990099
